frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
46,2.3623,histogram,pid,0,1,0,0.0125,155.4886,3.7768,307.2005,-4.5114,-4.3792,-0.1864,STOP,-0.1128,-0.0671,-0.0066,0.0,0.0,47.397,17.0691,58.5853,0.6653,0.9845,0.3733,0.9518,0.0473,7.3978,0.1351,49.2134
47,2.3773,histogram,pid,0,1,0,0.0181,155.6732,4.1398,307.2067,-4.3268,-4.3635,-0.1819,STOP,-0.1082,-0.0701,-0.0037,0.0,0.0,23.6257,74.994,13.3344,0.4333,1.0569,0.4273,1.3928,0.0634,3.788,0.1672,0.0
48,2.3926,histogram,pid,0,1,0,0.0181,155.6732,4.1398,307.2067,-4.3268,-4.3525,-0.1815,STOP,-0.1082,-0.0707,-0.0026,0.0,0.0,38.8936,15.7428,63.5209,0.4501,1.113,0.4274,1.1227,0.0521,3.5807,0.1384,0.0
49,2.4621,histogram,pid,0,1,0,0.025,155.7929,4.3854,307.2005,-4.2071,-4.3088,-0.1754,STOP,-0.1052,-0.0713,0.0011,0.0,0.0,27.5912,15.2343,65.6412,0.4316,1.0918,0.4307,1.27,0.052,4.5035,0.1629,47.3454
50,2.479,histogram,pid,0,1,0,0.0403,155.9643,4.7545,307.174,-4.0357,-4.2269,-0.1731,STOP,-0.1009,-0.0739,0.0017,0.0,0.0,22.4776,69.0997,14.4718,0.4328,1.0751,0.4278,2.27,0.0413,4.5839,0.1505,0.0
51,2.4946,histogram,pid,0,1,0,0.0403,155.9643,4.7545,307.174,-4.0357,-4.1696,-0.1743,STOP,-0.1009,-0.0746,0.0012,0.0,0.0,38.0447,17.3838,57.525,0.4498,1.0511,0.4242,1.0844,0.0588,3.8638,0.1415,0.0
52,2.5635,histogram,pid,0,1,0,0.0306,155.8974,4.5943,307.2005,-4.1026,-4.1495,-0.1786,STOP,-0.1026,-0.0752,-0.0008,0.0,0.0,29.9259,14.8591,67.2989,0.4253,1.6326,0.4582,1.1871,0.0523,4.305,0.1874,45.2704
53,2.5784,histogram,pid,0,1,0,0.0403,156.0157,4.8309,307.2005,-3.9843,-4.0999,-0.1773,STOP,-0.0996,-0.0778,0.0001,0.0,0.0,39.2413,69.1644,14.4583,0.4477,1.2339,0.4119,0.9893,0.0475,3.5926,0.1438,0.0
54,2.5934,histogram,pid,0,1,0,0.0278,155.8392,4.4779,307.2005,-4.1608,-4.1182,-0.1868,STOP,-0.104,-0.0783,-0.0045,0.0,0.0,20.8302,14.7132,67.9662,0.4473,1.0865,0.3995,1.1054,0.0569,3.9757,0.1469,0.0
55,2.6624,histogram,pid,0,1,0,0.0278,155.8392,4.4779,307.2005,-4.1608,-4.131,-0.1861,STOP,-0.104,-0.0789,-0.0031,0.0,0.0,36.492,15.5877,64.1532,0.5083,1.1997,0.4202,1.2244,0.0472,3.7428,0.1409,46.4176
